"code",approved,flag,category,subcat,title,author,year,isbn,other_info,comments
"carowyn",1,0,"ARMOR BOOKS","","The Armored Horse in Europe: 1480-1620","Stuart W Pyhrr, Donald J LaRocca, Dirk H Breiding","2005","isbn 1-58839-150-7","",""
"carowyn",1,0,"ARMOR BOOKS","","Arms &amp; Armor","Helmut Nickel","1991","The Metropolitan Museum of Art, no ISBN","",""
"carowyn",1,0,"MINERAL ID BOOKS","","Amber: Window to the Past","David A Grimaldi","1996","ISBN 0-8109-2652-0","",""
"carowyn",1,0,"MINERAL ID BOOKS","","The Book of Diamonds","Joan Younger Dickinson","1965","LCC 65-15844","",""
"carowyn",1,0,"MINERAL ID BOOKS","","Collecting Fossils: Hold Prehistory in the Palm of Your Hand","Steve Parker","1997","ISBN 0-8069-9762-1","",""
"carowyn",1,0,"MINERAL ID BOOKS","","Gem Cutting","J. Daniel Willems","1948","The Manual Arts Press / Peoria Ill.","",""
"carowyn",1,0,"MINERAL ID BOOKS","","Minerals and Gemstones of the World","G Brocardo","1994","isbn 0-7153-0197-7","(focuses on the chemical properties)"
"carowyn",1,0,"ENAMEL BOOKS","","The Art of Enameling","Margarete Seeler","","ISBN 0-442-28164-1","",""
"carowyn",1,0,"ENAMEL BOOKS","","Enamels: The Smithsonian Illustrated Library of Antiques","Susan Benjamin","","LCC 82-72761","",""
"carowyn",1,0,"ENAMEL BOOKS","","European Enamels","Isa Belli Barsali","1966","Hamlyn Books (Cameo Books)","",""
"carowyn",1,0,"ENAMEL BOOKS","","Faberge","Geza von Habsburg","2004","ISBN 5-9900284-1-5","",""
"carowyn",1,0,"ENAMEL BOOKS","","Faberge: A Catalog of the Lillian Thomas Pratt Collection of Russian Imperial Jewels","Parker Lesley","1976","ISBN 0-917406-00-5","",""
"carowyn",1,0,"ENAMEL BOOKS","","The Greenfield Collection of Russian Enamels","Christie's - New York","10/20/98","","",""
"carowyn",1,0,"ENAMEL BOOKS","","How to Enamel on Copper","Walter T Foster publisher","","no ISBN","",""
"carowyn",1,0,"ENAMEL BOOKS","","Medieval Enamels","Marian Campbell","1983","isbn 0-11-290385-1","",""
"carowyn",1,0,"ENAMEL BOOKS","","Peter Carl Faberge: Goldsmith and Jeweller to the Russian Imperial Court","Henry Charles Bainbridge","1949","The Chaucer Press / Suffolk","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","The Complete Metalsmith","Tim McCreight","1991","ISBN 0-87192-240-1","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","An Illustrated Dictionary of Silver","Harold Newman","1987","isbn 0-500-28196-3","","$10 - Atlantic Books"
